bin_idx,left,right,center,count,clase,image_idx,c_critical,distance
1,0.0,0.0124,0.0062,1525,0,1876,0.01,0.0038000000000000004
2,0.0124,0.0248,0.0186,1677,0,68,0.02,0.001400000000000002
3,0.0248,0.0372,0.031,830,0,1090,0.03,0.0010000000000000009
4,0.0372,0.0496,0.043399999999999994,2143,0,108,0.04,0.0033999999999999933
5,0.0496,0.062,0.0558,3764,0,489,0.06,0.004199999999999995
6,0.062,0.0744,0.0682,835,0,3012,0.07,0.00180000000000001
7,0.0744,0.0868,0.0806,1489,0,156,0.08,0.0006000000000000033
8,0.0868,0.0992,0.093,1197,0,2218,0.09,0.0030000000000000027
9,0.0992,0.11159999999999999,0.1054,1692,0,5288,0.11,0.004600000000000007
10,0.11159999999999999,0.124,0.11779999999999999,812,0,210,0.12,0.0022000000000000075
11,0.124,0.1364,0.13019999999999998,676,0,2817,0.13,0.00019999999999997797
12,0.1364,0.1488,0.1426,617,0,3021,0.14,0.002599999999999991
13,0.1488,0.16119999999999998,0.15499999999999997,2214,0,192,0.15,0.004999999999999977
14,0.16119999999999998,0.1736,0.1674,1918,0,232,0.17,0.002600000000000019
15,0.1736,0.186,0.17980000000000002,2481,0,303,0.18,0.00019999999999997797
16,0.186,0.1984,0.19219999999999998,3125,0,121,0.19,0.0021999999999999797
17,0.1984,0.2108,0.2046,7725,0,95,0.2,0.004599999999999993
18,0.2108,0.22319999999999998,0.21699999999999997,4475,0,51,0.22,0.0030000000000000304
19,0.22319999999999998,0.2356,0.2294,4969,0,435,0.23,0.0006000000000000172
20,0.2356,0.248,0.24180000000000001,4781,0,37,0.24,0.0018000000000000238
21,0.248,0.26039999999999996,0.2542,6489,0,63,0.25,0.0041999999999999815
22,0.26039999999999996,0.2728,0.26659999999999995,1736,0,781,0.27,0.0034000000000000696
23,0.2728,0.2852,0.279,1105,0,524,0.28,0.0010000000000000009
24,0.2852,0.2976,0.2914,708,0,633,0.29,0.0014000000000000123
25,0.2976,0.31,0.30379999999999996,399,0,4744,0.3,0.00379999999999997
26,0.31,0.32239999999999996,0.3162,393,0,5196,0.32,0.0038000000000000256
27,0.32239999999999996,0.3348,0.3286,92,0,2436,0.33,0.0014000000000000123
28,0.3348,0.3472,0.34099999999999997,48,0,5604,0.34,0.0009999999999999454
29,0.3472,0.3596,0.3534,31,1,8177,0.35000000000000003,0.0033999999999999586
30,0.3596,0.372,0.3658,27,0,42456,0.37,0.0041999999999999815
31,0.372,0.38439999999999996,0.3782,15,1,32890,0.38,0.0018000000000000238
32,0.38439999999999996,0.3968,0.39059999999999995,3,2,26312,0.39,0.0005999999999999339
33,0.3968,0.4092,0.403,4,4,22472,0.4,0.0030000000000000027
34,0.4092,0.4216,0.4154,2,0,44750,0.41000000000000003,0.00539999999999996
35,0.4216,0.434,0.42779999999999996,0,,,,
36,0.434,0.44639999999999996,0.4402,1,1,36042,0.44,0.00019999999999997797
37,0.44639999999999996,0.4588,0.4526,1,8,53636,0.45,0.002599999999999991
38,0.4588,0.4712,0.46499999999999997,0,,,,
39,0.4712,0.4836,0.4774,0,,,,
40,0.4836,0.496,0.4898,0,,,,
41,0.496,0.5084,0.5022,0,,,,
42,0.5084,0.5207999999999999,0.5146,0,,,,
43,0.5207999999999999,0.5332,0.5269999999999999,0,,,,
44,0.5332,0.5456,0.5394,0,,,,
45,0.5456,0.5579999999999999,0.5518,0,,,,
46,0.5579999999999999,0.5704,0.5642,0,,,,
47,0.5704,0.5828,0.5766,0,,,,
48,0.5828,0.5952,0.589,0,,,,
49,0.5952,0.6076,0.6013999999999999,0,,,,
50,0.6076,0.62,0.6138,1,1,4900,0.62,0.006199999999999983
