Clase,R_mean,R_final,DFA_alpha,PSD_slope,Entropia_mean,Corr_mean,MI_mean
0,0.54911405,0.56113577,1.5147178242409258,-2.578044650378283,0.6415434305395499,-0.2476792757074033,0.4374344032173508
1,0.7462248,0.7655705,1.4302998698484455,-1.3860411147621583,1.1291428224494933,-0.24524214514079665,0.6114279813518556
2,0.5307735,0.5498387,1.8964488787491225,-3.5041818571372456,1.022408342984596,-0.2811228100603936,0.6379059149112641
3,0.4986536,0.5104682,1.7229458929104915,-1.861435375125109,0.8789224530930778,-0.011412706916206411,0.41187172799200283
4,0.6577644,0.6727509,1.9272591409563014,-3.4460870820791687,1.8488733346401722,-0.02923800236044058,0.776231237336462
5,0.5793725,0.5987779,1.2031454786511309,-2.9717022515111022,1.5664224606812611,-0.2226662972877623,1.254460491306409
6,0.3628281,0.33568296,1.581576785645737,-2.4940785375273404,2.271165725822035,-0.269897149156298,1.5546021498469755
7,0.46368337,0.44007236,1.756821284897701,-2.7160323477141137,2.102546185455335,-0.3226227049172605,1.193208592147443
8,0.5916356,0.6129731,2.2300368504214787,-4.622881360738397,0.5779816511820456,0.005686561252894647,0.5348130600945517
9,0.62585545,0.6469601,1.4778399151257948,-3.1526782954317616,1.1784387577237943,-0.29295226390161533,0.8321170343419341
